,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
0,UgxpOsXcp0l8BxWoZ6l4AaABAg,QueenWizzard,https://yt3.ggpht.com/a/AGF-l7_ryJinK1f-DcaFKLnxut47jh7kdqdxzMqnGg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UChWQCeF34K-k7Ew9Cs0ibJg,{'value': 'UChWQCeF34K-k7Ew9Cs0ibJg'},iI48g7YTZFA,“Haven’t built your own house.” Don’t act like I haven’t played the sims. I know exactly how much work goes into it.,“Haven’t built your own house.” Don’t act like I haven’t played the sims. I know exactly how much work goes into it.,True,none,12502,2019-08-22T00:23:44.000Z,2019-08-22T00:24:21.000Z,0
1,UgxpOsXcp0l8BxWoZ6l4AaABAg.8yv2krEpXty93xzExqe-MH,NotUrStyle,https://yt3.ggpht.com/a/AGF-l7_inVRo1F9D-YtElmA0hLZCiBfLeJvbUMH1VA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCE7zouoTgYb1FaHTNu49NwQ,{'value': 'UCE7zouoTgYb1FaHTNu49NwQ'},iI48g7YTZFA,God damn roofing and landscaping,God damn roofing and landscaping,True,none,0,2020-01-19T06:50:22.000Z,2020-01-19T06:50:22.000Z,UgxpOsXcp0l8BxWoZ6l4AaABAg
2,UgxpOsXcp0l8BxWoZ6l4AaABAg.8yv2krEpXty93uX9pOuYE4,RestlessHippie,https://yt3.ggpht.com/a/AGF-l78kCuCf06lby62J34DeouFurOsujIG2-glBMA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCpX6wLK_W-Ok-kBxaJ5cEoA,{'value': 'UCpX6wLK_W-Ok-kBxaJ5cEoA'},iI48g7YTZFA,This is the top comment and I still feel like it's underrated LMAO,This is the top comment and I still feel like it's underrated LMAO,True,none,0,2020-01-17T22:38:33.000Z,2020-01-17T22:38:33.000Z,UgxpOsXcp0l8BxWoZ6l4AaABAg
3,UgxpOsXcp0l8BxWoZ6l4AaABAg.8yv2krEpXty93k1T3fh37X,jamila bee,https://yt3.ggpht.com/a/AGF-l78fDP7XLRdnFNw8keSXsdgtGpM5FOV0AVQQbw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCViV0yPnRL1FEXDilQoyncw,{'value': 'UCViV0yPnRL1FEXDilQoyncw'},iI48g7YTZFA,😂😂😂,😂😂😂,True,none,0,2020-01-13T20:49:09.000Z,2020-01-13T20:49:09.000Z,UgxpOsXcp0l8BxWoZ6l4AaABAg
4,UgxpOsXcp0l8BxWoZ6l4AaABAg.8yv2krEpXty93eO9GBw8nC,Animation Outlet,https://yt3.ggpht.com/a/AGF-l79Ywli46bP1ame5dMiEPo4LJYu9r1T__P9Q1A=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCSto4PxbOwhWeuqp2jouT2g,{'value': 'UCSto4PxbOwhWeuqp2jouT2g'},iI48g7YTZFA,@Crazy Beany I've spent like 12 hours (not counting breaks) on a mansion... but it turned out horrible. I also have about 3000 hours.  Haha😂,@Crazy Beany I've spent like 12 hours (not counting breaks) on a mansion... but it turned out horrible. I also have about 3000 hours.  Haha😂,True,none,0,2020-01-11T16:11:58.000Z,2020-01-11T16:11:58.000Z,UgxpOsXcp0l8BxWoZ6l4AaABAg
5,UgxpOsXcp0l8BxWoZ6l4AaABAg.8yv2krEpXty93aT_xStT4R,jayjayjames2332,https://yt3.ggpht.com/a/AGF-l7_-C5cR_9E4_zkxNc2m1Mb5AR8X8v4Gr5H_Jg=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCa5GWbkc_PdZuTGCQkvikKg,{'value': 'UCa5GWbkc_PdZuTGCQkvikKg'},iI48g7YTZFA,"I know it's not totally relevant to your comment but these people are also out of touch in not realizing that in a lot of the country where property alone isn't worth millions like in LA, people actually can and do build their own homes and you don't have to be rich to do so, in fact it's cheaper than buying one most of the time. Instead of buying a house for $80k you can probably buy land and build a similar house for at least $15k less. It just takes a lot more time and work. Unless you're super rich like these jackasses. Then it just takes time for people to build it for you while you live in your other mansion.","I know it's not totally relevant to your comment but these people are also out of touch in not realizing that in a lot of the country where property alone isn't worth millions like in LA, people actually can and do build their own homes and you don't have to be rich to do so, in fact it's cheaper than buying one most of the time. Instead of buying a house for $80k you can probably buy land and build a similar house for at least $15k less. It just takes a lot more time and work. Unless you're super rich like these jackasses. Then it just takes time for people to build it for you while you live in your other mansion.",True,none,0,2020-01-10T03:42:29.000Z,2020-01-10T03:43:55.000Z,UgxpOsXcp0l8BxWoZ6l4AaABAg
6,UgzCXPFQl6jPnoFGwcN4AaABAg,Catherine Wright,https://yt3.ggpht.com/a/AGF-l78H7JPKPHo6fpkbaITlvvW41CvE9SUfVe9nwA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCif76mmKvoV-_1GrzHr91-Q,{'value': 'UCif76mmKvoV-_1GrzHr91-Q'},iI48g7YTZFA,"yo why are they complaining about walking to the gym

isn't the point of a gym

to exercise

and isn't walking

exercise","yo why are they complaining about walking to the gym

isn't the point of a gym

to exercise

and isn't walking

exercise",True,none,4175,2019-12-06T22:03:37.000Z,2019-12-06T22:03:37.000Z,0
7,UgzCXPFQl6jPnoFGwcN4AaABAg.92DJmGDM7rP93uEUr7Jqp7,Nozomii,https://yt3.ggpht.com/a/AGF-l78iEKGhAMK35CBGzQqPIh8ZZFQfNKwUwNS3Ig=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCaVj93OS4P92lP3Ge6iZBCA,{'value': 'UCaVj93OS4P92lP3Ge6iZBCA'},iI48g7YTZFA,yitae,yitae,True,none,0,2020-01-17T19:55:23.000Z,2020-01-17T19:55:23.000Z,UgzCXPFQl6jPnoFGwcN4AaABAg
8,UgzCXPFQl6jPnoFGwcN4AaABAg.92DJmGDM7rP93oWeyH86-f,Ophelia S.,https://yt3.ggpht.com/a/AGF-l7-p5bmDXK5HDX7Dh-ahMGQ_lKbK4lWb5S6sGQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC7ShNVxcpCdDRDZQnnBGwag,{'value': 'UC7ShNVxcpCdDRDZQnnBGwag'},iI48g7YTZFA,"@Tony Boy   wtf. Of course walking is exercise, where do you come from? Ever heard of brisk walking, or even hiking? Even when you walk across your street to get some groceries, it's still exercise. You whole body needs to make an effort and your muscles are working. Not a huge exercise, granted, but exercise all the same.","@Tony Boy   wtf. Of course walking is exercise, where do you come from? Ever heard of brisk walking, or even hiking? Even when you walk across your street to get some groceries, it's still exercise. You whole body needs to make an effort and your muscles are working. Not a huge exercise, granted, but exercise all the same.",True,none,0,2020-01-15T14:38:45.000Z,2020-01-15T14:38:45.000Z,UgzCXPFQl6jPnoFGwcN4AaABAg
9,UgzCXPFQl6jPnoFGwcN4AaABAg.92DJmGDM7rP93nVaTaipTi,Tim Frey,https://yt3.ggpht.com/a/AGF-l79zxGvS81utHf62gFX6IhvSIAvn_kLzTQ8zhA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCZWjbzUy4EKPlwzLZa-OKEg,{'value': 'UCZWjbzUy4EKPlwzLZa-OKEg'},iI48g7YTZFA,"'cause they're posers who exercise for 2 minutes on camera, take steroids to look big, and can't walk some stairs XD","'cause they're posers who exercise for 2 minutes on camera, take steroids to look big, and can't walk some stairs XD",True,none,0,2020-01-15T05:10:09.000Z,2020-01-15T05:10:09.000Z,UgzCXPFQl6jPnoFGwcN4AaABAg
