,CommID,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,videoId,textDisplay,textOriginal,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId
0,Ugyg0ur7xvRtEBGZY3l4AaABAg,Jenn Im,https://yt3.ggpht.com/a/AGF-l78dBoc7rLWB6tLgSzuyj3z6AH_oDltuFIhsBQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCgWfS_47YPVbKx5EK4FLm4A,{'value': 'UCgWfS_47YPVbKx5EK4FLm4A'},ZcCp6ghTP78,This vlog is PACKED with packing essentials.,This vlog is PACKED with packing essentials.,True,none,205,2019-12-22T17:15:38.000Z,2019-12-22T17:15:38.000Z,0
1,Ugyg0ur7xvRtEBGZY3l4AaABAg.92r-Y2bx9r493ApbN_5rCr,Kim Delgado,https://yt3.ggpht.com/a/AGF-l784X-Yg_I8--ie1R1M3hVfEqWCCOHzHhwZTpw=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCkf00zc88oK-Rm3rwMKEs5A,{'value': 'UCkf00zc88oK-Rm3rwMKEs5A'},ZcCp6ghTP78,Jenn Im don’t use FRESH products check out their problems with the FDA!,Jenn Im don’t use FRESH products check out their problems with the FDA!,True,none,0,2019-12-30T19:24:09.000Z,2019-12-30T19:24:09.000Z,Ugyg0ur7xvRtEBGZY3l4AaABAg
2,Ugyg0ur7xvRtEBGZY3l4AaABAg.92r-Y2bx9r492wXfqjWbK5,Julie Elise,https://yt3.ggpht.com/a/AGF-l7_T_MRZWiIVteO01DW6o9-JS7tQ0AiyduoWzA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCaehBII4BMTOFVqLWcJBvPg,{'value': 'UCaehBII4BMTOFVqLWcJBvPg'},ZcCp6ghTP78,Jenn I’m so proud of you and your packing list! It’s really the only way to go. ✌🏼,Jenn I’m so proud of you and your packing list! It’s really the only way to go. ✌🏼,True,none,0,2019-12-24T20:50:08.000Z,2019-12-24T20:50:08.000Z,Ugyg0ur7xvRtEBGZY3l4AaABAg
3,Ugyg0ur7xvRtEBGZY3l4AaABAg.92r-Y2bx9r492uw3PkVGVP,Lucky Charm,https://yt3.ggpht.com/a/AGF-l78XXdfOp50ceQOSFFFdWZtgavyLmQ24B_uhlA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCcZeLuS66rEJ8PtTrZYUXeA,{'value': 'UCcZeLuS66rEJ8PtTrZYUXeA'},ZcCp6ghTP78,"love the video super cute. I am doing photography, since i moved I go my home town to New Jersey from Arizona for a month of August every year, I have Nikon D60, what lens do i need I want to start doing same kind photos from beginning what do i need to use it? do i need buy my self a speed light?","love the video super cute. I am doing photography, since i moved I go my home town to New Jersey from Arizona for a month of August every year, I have Nikon D60, what lens do i need I want to start doing same kind photos from beginning what do i need to use it? do i need buy my self a speed light?",True,none,0,2019-12-24T05:53:28.000Z,2019-12-24T05:53:28.000Z,Ugyg0ur7xvRtEBGZY3l4AaABAg
4,Ugyg0ur7xvRtEBGZY3l4AaABAg.92r-Y2bx9r492shRIZFMSa,李孟融,https://yt3.ggpht.com/a/AGF-l7_THENuk2fLzlreQ5vFdiLnfrC4nWTwniZO2w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCbQ4sgQrKU2yqCYMnGK9jDA,{'value': 'UCbQ4sgQrKU2yqCYMnGK9jDA'},ZcCp6ghTP78,Dad jokes hahaha,Dad jokes hahaha,True,none,0,2019-12-23T09:07:10.000Z,2019-12-23T09:07:10.000Z,Ugyg0ur7xvRtEBGZY3l4AaABAg
5,Ugyg0ur7xvRtEBGZY3l4AaABAg.92r-Y2bx9r492r_pLbqIlq,KT Ho,https://yt3.ggpht.com/a/AGF-l79TjHV8AtIZ0_IgD5qvpJs-sMgO7Wq9Z-TdyA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UC-mv4VHuiHtxSYH6ujWC47g,{'value': 'UC-mv4VHuiHtxSYH6ujWC47g'},ZcCp6ghTP78,do you remember where that skincare pouch is from? :o,do you remember where that skincare pouch is from? :o,True,none,0,2019-12-22T22:41:27.000Z,2019-12-22T22:41:27.000Z,Ugyg0ur7xvRtEBGZY3l4AaABAg
6,UgyBJ1hk-TxvlV-9rBl4AaABAg,Blue Note,https://yt3.ggpht.com/a/AGF-l78HQz_hyhwlhnZQppuX_01Um_tfOw4wX7-bzQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCaILRA7fa9WOI2Cl3Qof6Vg,{'value': 'UCaILRA7fa9WOI2Cl3Qof6Vg'},ZcCp6ghTP78,The only not cute thing about that facial place was the prices,The only not cute thing about that facial place was the prices,True,none,60,2019-12-23T03:16:11.000Z,2019-12-23T03:16:11.000Z,0
7,UgyBJ1hk-TxvlV-9rBl4AaABAg.92s4G_NZTyH92v68_l8dII,Y&Y - 와이앤와이,https://yt3.ggpht.com/a/AGF-l7_l9PtHYx8u8hs3HX57ugAtewLR7UH3EWG9WA=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCwTIa7hG58izsbrGqmW6YBA,{'value': 'UCwTIa7hG58izsbrGqmW6YBA'},ZcCp6ghTP78,😂Same here,😂Same here,True,none,2,2019-12-24T07:30:17.000Z,2019-12-24T07:30:17.000Z,UgyBJ1hk-TxvlV-9rBl4AaABAg
8,UgyBJ1hk-TxvlV-9rBl4AaABAg.92s4G_NZTyH92t-lVd72WJ,allofthelightsandsounds,https://yt3.ggpht.com/a/AGF-l7-ICDdLbcx0DQY5qNkPi5XRRjyD3Bf5nEO1YQ=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCb3-p2pEpAuvn9Q7oPHkQtg,{'value': 'UCb3-p2pEpAuvn9Q7oPHkQtg'},ZcCp6ghTP78,Blue Note forreal tho. I choked when I saw the price list 😅😷,Blue Note forreal tho. I choked when I saw the price list 😅😷,True,none,6,2019-12-23T11:56:05.000Z,2019-12-23T11:56:05.000Z,UgyBJ1hk-TxvlV-9rBl4AaABAg
9,Ugx_IvDb38iYb3rbZdx4AaABAg,Yina Sibrian,https://yt3.ggpht.com/a/AGF-l79ZmdNy3-C3CBOq6ljuGs_Ewewv3_ZtlaMJ5w=s48-c-k-c0xffffffff-no-rj-mo,http://www.youtube.com/channel/UCDP3D8zndrlnpxciQxzaX3g,{'value': 'UCDP3D8zndrlnpxciQxzaX3g'},ZcCp6ghTP78,Has anyone ever packed and used what you packed the morning before you leave and end up leaving crucial things behind!!,Has anyone ever packed and used what you packed the morning before you leave and end up leaving crucial things behind!!,True,none,112,2019-12-22T18:14:43.000Z,2019-12-22T18:14:43.000Z,0
